Gene_ID	Gene_names	Otholog	Molecular_function	Biological_process	Cellular_component
HUMAN|HGNC=17015|UniProtKB=Q13610	PWP1	Periodic tryptophan protein 1 homolog;PWP1;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	nucleobase-containing compound metabolic process(GO:0008152)	
HUMAN|HGNC=28959|UniProtKB=Q14008	CKAP5	Cytoskeleton-associated protein 5;CKAP5;ortholog	structural constituent of cytoskeleton(GO:0005198);microtubule binding(GO:0005200)	cell cycle(GO:0009987);cellular component organization(GO:0007049)	microtubule(GO:0032991);cytoskeleton(GO:0043234);intracellular(GO:0005874)
HUMAN|HGNC=28966|UniProtKB=Q14135	VGLL4	Transcription cofactor vestigial-like protein 4;VGLL4;ortholog			
HUMAN|HGNC=12932|UniProtKB=Q14258	TRIM25	E3 ubiquitin/ISG15 ligase TRIM25;TRIM25;ortholog			
HUMAN|HGNC=28979|UniProtKB=Q14687	GSE1	Genetic suppressor element 1;GSE1;ortholog			
HUMAN|HGNC=13408|UniProtKB=Q14690	PDCD11	Protein RRP5 homolog;PDCD11;ortholog			
HUMAN|HGNC=8059|UniProtKB=Q14980	NUMA1	Nuclear mitotic apparatus protein 1;NUMA1;ortholog	structural constituent of cytoskeleton(GO:0005198);microtubule binding(GO:0005200)	mitosis(GO:0009987)	microtubule(GO:0032991);cytoskeleton(GO:0043234);intracellular(GO:0005874)
HUMAN|HGNC=24305|UniProtKB=Q15021	NCAPD2	Condensin complex subunit 1;NCAPD2;ortholog	nucleic acid binding(GO:0005488)	nucleobase-containing compound metabolic process(GO:0008152);mitosis(GO:0044238);chromatin organization(GO:0006139)	
HUMAN|HGNC=20932|UniProtKB=Q15054	POLD3	DNA polymerase delta subunit 3;POLD3;ortholog			
HUMAN|HGNC=23019|UniProtKB=Q15696	ZRSR2	U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2;ZRSR2;ortholog	RNA binding(GO:0005488)	mRNA splicing, via spliceosome(GO:0008152)	ribonucleoprotein complex(GO:0032991)
HUMAN|HGNC=26154|UniProtKB=Q2KHR3	QSER1	Glutamine and serine-rich protein 1;QSER1;ortholog			
HUMAN|HGNC=6702|UniProtKB=Q32MZ4	LRRFIP1	Leucine-rich repeat flightless-interacting protein 1;LRRFIP1;ortholog	transcription cofactor activity(GO:0000988);sequence-specific DNA binding transcription factor activity(GO:0000989);sequence-specific DNA binding transcription factor activity(GO:0003712);RNA binding(GO:0001071);protein binding(GO:0003700)	transcription from RNA polymerase II promoter(GO:0008152)	
HUMAN|HGNC=24510|UniProtKB=Q4KMP7	TBC1D10B	TBC1 domain family member 10B;TBC1D10B;ortholog	hydrolase activity(GO:0003824);protein binding(GO:0016787);small GTPase regulator activity(GO:0005488)	metabolic process(GO:0008152);cellular process(GO:0009987);cellular component morphogenesis(GO:0032502);intracellular protein transport(GO:0009653);exocytosis(GO:0032989);regulation of catalytic activity(GO:0051179);cellular component organization(GO:0006810)	
HUMAN|HGNC=30512|UniProtKB=Q5JSH3	WDR44	WD repeat-containing protein 44;WDR44;ortholog			
HUMAN|HGNC=24013|UniProtKB=Q5QJE6	DNTTIP2	Deoxynucleotidyltransferase terminal-interacting protein 2;DNTTIP2;ortholog			
HUMAN|HGNC=25332|UniProtKB=Q8NDD1	C1orf131	Uncharacterized protein C1orf131;C1orf131;ortholog			
HUMAN|HGNC=21215|UniProtKB=Q9H6K1	C6orf106	Uncharacterized protein C6orf106;C6orf106;ortholog			
HUMAN|HGNC=29039|UniProtKB=Q5VT52	RPRD2	Regulation of nuclear pre-mRNA domain-containing protein 2;RPRD2;ortholog	kinase activity(GO:0003824);protein binding(GO:0016740);kinase inhibitor activity(GO:0016301);kinase regulator activity(GO:0005488)	metabolic process(GO:0008152);regulation of catalytic activity(GO:0065007)	
HUMAN|HGNC=21050|UniProtKB=Q5VV42	CDKAL1	Threonylcarbamoyladenosine tRNA methylthiotransferase;CDKAL1;ortholog			
HUMAN|HGNC=17294|UniProtKB=Q5VWQ8	DAB2IP	Disabled homolog 2-interacting protein;DAB2IP;ortholog	GTPase activity(GO:0003824);pyrophosphatase activity(GO:0016787);small GTPase regulator activity(GO:0003924);enzyme activator activity(GO:0016462)	phosphate-containing compound metabolic process(GO:0008152);nitrogen compound metabolic process(GO:0006796);catabolic process(GO:0006807);nucleobase-containing compound metabolic process(GO:0009056);cell communication(GO:0044238);response to stimulus(GO:0006139);regulation of nucleobase-containing compound metabolic process(GO:0009987);regulation of phosphate metabolic process(GO:0007154);regulation of catalytic activity(GO:0050896)	plasma membrane(GO:0016020);intracellular(GO:0005886)
HUMAN|HGNC=29176|UniProtKB=Q684P5	RAP1GAP2	Rap1 GTPase-activating protein 2;RAP1GAP2;ortholog	catalytic activity(GO:0003824);protein binding(GO:0005488);small GTPase regulator activity(GO:0005515)	metabolic process(GO:0008152);cellular process(GO:0009987);regulation of catalytic activity(GO:0065007)	
HUMAN|HGNC=21115|UniProtKB=Q6P444	MTFR2	Mitochondrial fission regulator 2;MTFR2;ortholog		generation of precursor metabolites and energy(GO:0008152);cellular process(GO:0006091);mitochondrion organization(GO:0009987)	organelle(GO:0043226);cytoplasm(GO:0044464)
HUMAN|HGNC=20788|UniProtKB=Q6PJF5	RHBDF2	Inactive rhomboid protein 2;RHBDF2;ortholog	serine-type peptidase activity(GO:0003824)	proteolysis(GO:0008152)	
HUMAN|HGNC=25706|UniProtKB=Q6PJI9	WDR59	WD repeat-containing protein 59;WDR59;ortholog	receptor activity(GO:0004872)	DNA repair(GO:0008152);mRNA splicing, via spliceosome(GO:0044238);cell communication(GO:0006139);intracellular protein transport(GO:0006259);peroxisomal transport(GO:0006281);chromatin organization(GO:0016070)	
HUMAN|HGNC=29259|UniProtKB=Q7L7X3	TAOK1	Serine/threonine-protein kinase TAO1;TAOK1;ortholog	protein kinase activity(GO:0003824)	phosphate-containing compound metabolic process(GO:0008152);protein phosphorylation(GO:0006796);cell communication(GO:0044238);response to stimulus(GO:0019538);regulation of biological process(GO:0006464)	intracellular(GO:0044464)
HUMAN|HGNC=26087|UniProtKB=Q7Z4Q2	HEATR3	HEAT repeat-containing protein 3;HEATR3;ortholog			
HUMAN|HGNC=30892|UniProtKB=Q7Z6Z7	HUWE1	E3 ubiquitin-protein ligase HUWE1;HUWE1;ortholog	ligase activity(GO:0003824)	catabolic process(GO:0008152);cellular protein modification process(GO:0009056);proteolysis(GO:0044238);cellular process(GO:0019538)	organelle(GO:0043226);intracellular(GO:0044464)
HUMAN|HGNC=23688|UniProtKB=Q86UU0	BCL9L	B-cell CLL/lymphoma 9-like protein;BCL9L;ortholog		mesoderm development(GO:0032502)	
HUMAN|HGNC=23697|UniProtKB=Q86UU1	PHLDB1	Pleckstrin homology-like domain family B member 1;PHLDB1;ortholog		B cell mediated immunity(GO:0002376);macrophage activation(GO:0006955);cell communication(GO:0019724);mesoderm development(GO:0042116);hemopoiesis(GO:0009987);cellular defense response(GO:0007154)	
HUMAN|HGNC=23728|UniProtKB=Q86WR7	PROSER2	Proline and serine-rich protein 2;PROSER2;ortholog			
HUMAN|HGNC=22208|UniProtKB=Q8IVD9	NUDCD3	NudC domain-containing protein 3;NUDCD3;ortholog	structural constituent of cytoskeleton(GO:0005198)	mitosis(GO:0009987)	microtubule(GO:0032991);cytoskeleton(GO:0043234);intracellular(GO:0005874)
HUMAN|HGNC=27000|UniProtKB=Q8IVT2	MISP	Mitotic interactor and substrate of PLK1;MISP;ortholog			
HUMAN|HGNC=28547|UniProtKB=Q8N0U7	C1orf87	Uncharacterized protein C1orf87;C1orf87;ortholog			
HUMAN|HGNC=24017|UniProtKB=Q8N556	AFAP1	Actin filament-associated protein 1;AFAP1;ortholog			
HUMAN|HGNC=30941|UniProtKB=Q8N5P1	ZC3H8	Zinc finger CCCH domain-containing protein 8;ZC3H8;ortholog			
HUMAN|HGNC=26868|UniProtKB=Q8N7R7	CCNYL1	Cyclin-Y-like protein 1;CCNYL1;ortholog			
HUMAN|HGNC=24489|UniProtKB=Q8ND56	LSM14A	Protein LSM14 homolog A;LSM14A;ortholog	RNA binding(GO:0005488)	RNA catabolic process(GO:0008152)	
HUMAN|HGNC=23354|UniProtKB=Q8ND76	CCNY	Cyclin-Y;CCNY;ortholog			
HUMAN|HGNC=19840|UniProtKB=Q8NDC0	MAPK1IP1L	MAPK-interacting and spindle-stabilizing protein-like;MAPK1IP1L;ortholog			
HUMAN|HGNC=31792|UniProtKB=Q8NFC6	BOD1L1	Biorientation of chromosomes in cell division protein 1-like 1;BOD1L1;ortholog			
HUMAN|HGNC=24055|UniProtKB=Q8NFQ8	TOR1AIP2	Torsin-1A-interacting protein 2;TOR1AIP2;ortholog			
HUMAN|HGNC=17839|UniProtKB=Q8NHZ8	CDC26	Anaphase-promoting complex subunit CDC26;CDC26;ortholog			
HUMAN|HGNC=16002|UniProtKB=Q8TAP9	MPLKIP	M-phase-specific PLK1-interacting protein;MPLKIP;ortholog			
HUMAN|HGNC=29302|UniProtKB=Q8TCG1	KIAA1524	Protein CIP2A;KIAA1524;ortholog			
HUMAN|HGNC=17208|UniProtKB=Q8TD16	BICD2	Protein bicaudal D homolog 2;BICD2;ortholog			
HUMAN|HGNC=30323|UniProtKB=Q8TDB6	DTX3L	E3 ubiquitin-protein ligase DTX3L;DTX3L;ortholog	ubiquitin-protein ligase activity(GO:0003824)	cellular protein modification process(GO:0008152);cell communication(GO:0044238);developmental process(GO:0019538)	
HUMAN|HGNC=16219|UniProtKB=Q8TEA8	DTD1	D-tyrosyl-tRNA(Tyr) deacylase 1;DTD1;ortholog	hydrolase activity, acting on ester bonds(GO:0003824)	nitrogen compound metabolic process(GO:0008152);biosynthetic process(GO:0006807);RNA metabolic process(GO:0009058);translation(GO:0044238);cellular process(GO:0006139);regulation of translation(GO:0016070)	intracellular(GO:0044464)
HUMAN|HGNC=29324|UniProtKB=Q8TEH3	DENND1A	DENN domain-containing protein 1A;DENND1A;ortholog			
HUMAN|HGNC=16051|UniProtKB=Q8TEW0	PARD3	Partitioning defective 3 homolog;PARD3;ortholog			
HUMAN|HGNC=30401|UniProtKB=Q8WVC0	LEO1	RNA polymerase-associated protein LEO1;LEO1;ortholog	DNA-directed RNA polymerase activity(GO:0003824);nucleic acid binding(GO:0016740)	transcription from RNA polymerase II promoter(GO:0008152)	
HUMAN|HGNC=8510|UniProtKB=Q92882	OSTF1	Osteoclast-stimulating factor 1;OSTF1;ortholog			
HUMAN|HGNC=28172|UniProtKB=Q96B23	C18orf25	Uncharacterized protein C18orf25;C18orf25;ortholog			
HUMAN|HGNC=9057|UniProtKB=Q96C90	PPP1R14B	Protein phosphatase 1 regulatory subunit 14B;PPP1R14B;ortholog			
HUMAN|HGNC=15578|UniProtKB=Q96D71	REPS1	RalBP1-associated Eps domain-containing protein 1;REPS1;ortholog	catalytic activity(GO:0003824);calcium ion binding(GO:0005488);protein binding(GO:0005509);small GTPase regulator activity(GO:0005515)	metabolic process(GO:0008152);synaptic transmission(GO:0009987);neurotransmitter secretion(GO:0007154);intracellular protein transport(GO:0007267);endocytosis(GO:0007268);regulation of catalytic activity(GO:0032501)	
HUMAN|HGNC=25052|UniProtKB=Q96GV9	C5orf30	UNC119-binding protein C5orf30;C5orf30;ortholog			
HUMAN|HGNC=7801|UniProtKB=Q96HA7	TONSL	Tonsoku-like protein;TONSL;ortholog			
HUMAN|HGNC=25126|UniProtKB=Q96HR8	NAF1	H/ACA ribonucleoprotein complex non-core subunit NAF1;NAF1;ortholog			
HUMAN|HGNC=14219|UniProtKB=Q96PK6	RBM14	RNA-binding protein 14;RBM14;ortholog		cell communication(GO:0009987);neurological system process(GO:0007154);ectoderm development(GO:0032501);nervous system development(GO:0044707)	
HUMAN|HGNC=25467|UniProtKB=Q96ST2	IWS1	Protein IWS1 homolog;IWS1;ortholog			
HUMAN|HGNC=30129|UniProtKB=Q99575	POP1	Ribonucleases P/MRP protein subunit POP1;POP1;ortholog	nuclease activity(GO:0003824);nucleic acid binding(GO:0016787)	metabolic process(GO:0008152)	
HUMAN|HGNC=9024|UniProtKB=Q99959	PKP2	Plakophilin-2;PKP2;ortholog	structural constituent of cytoskeleton(GO:0005198);intermediate filament binding(GO:0005200)	cell communication(GO:0009987);cell adhesion(GO:0007154)	cell junction(GO:0030054);intracellular(GO:0044464)
HUMAN|HGNC=28904|UniProtKB=Q9BQI0	AIF1L	Allograft inflammatory factor 1-like;AIF1L;ortholog	calcium ion binding(GO:0005488);calmodulin binding(GO:0005509);calcium-dependent phospholipid binding(GO:0005515)	immune system process(GO:0002376);cell cycle(GO:0009987);response to stress(GO:0007049)	
HUMAN|HGNC=23339|UniProtKB=Q9BR61	ACBD6	Acyl-CoA-binding domain-containing protein 6;ACBD6;ortholog			
HUMAN|HGNC=18656|UniProtKB=Q9BRS2	RIOK1	Serine/threonine-protein kinase RIO1;RIOK1;ortholog			
HUMAN|HGNC=25782|UniProtKB=Q9BTE3	MCMBP	Mini-chromosome maintenance complex-binding protein;MCMBP;ortholog			
HUMAN|HGNC=28707|UniProtKB=Q9BTK6	PAGR1	PAXIP1-associated glutamate-rich protein 1;PAGR1;ortholog			
HUMAN|HGNC=22222|UniProtKB=Q9C0H2	TTYH3	Protein tweety homolog 3;TTYH3;ortholog	anion channel activity(GO:0005215)	anion transport(GO:0051179)	
HUMAN|HGNC=12820|UniProtKB=Q9GZR2	REXO4	RNA exonuclease 4;REXO4;ortholog	exoribonuclease activity(GO:0003824);nucleic acid binding(GO:0016787)	RNA catabolic process(GO:0008152)	
HUMAN|HGNC=14282|UniProtKB=Q9H1B7	IRF2BPL	Interferon regulatory factor 2-binding protein-like;IRF2BPL;ortholog			
HUMAN|HGNC=11088|UniProtKB=Q9H2G2	SLK	STE20-like serine/threonine-protein kinase;SLK;ortholog	protein kinase activity(GO:0003824)	phosphate-containing compound metabolic process(GO:0008152);protein phosphorylation(GO:0006796);cell communication(GO:0044238);response to stimulus(GO:0019538);regulation of biological process(GO:0006464)	intracellular(GO:0044464)
HUMAN|HGNC=16370|UniProtKB=Q9H4L5	OSBPL3	Oxysterol-binding protein-related protein 3;OSBPL3;ortholog			
HUMAN|HGNC=28777|UniProtKB=Q9H773	DCTPP1	dCTP pyrophosphatase 1;DCTPP1;ortholog			
HUMAN|HGNC=30085|UniProtKB=Q9H7M9	C10orf54	Platelet receptor Gi24;C10orf54;ortholog		cellular process(GO:0009987)	
HUMAN|HGNC=25834|UniProtKB=Q9H8G2	CAAP1	Caspase activity and apoptosis inhibitor 1;CAAP1;ortholog			
HUMAN|HGNC=3231|UniProtKB=Q9HCU4	CELSR2	Cadherin EGF LAG seven-pass G-type receptor 2;CELSR2;ortholog	G-protein coupled receptor activity(GO:0004872);calcium ion binding(GO:0004930)	cellular component movement(GO:0009987);cell communication(GO:0006928);cell-cell adhesion(GO:0007154);ectoderm development(GO:0022610);cellular component morphogenesis(GO:0007155);embryo development(GO:0016337);nervous system development(GO:0032502);cellular component organization(GO:0007398)	
HUMAN|HGNC=6058|UniProtKB=Q9NQS7	INCENP	Inner centromere protein;INCENP;ortholog			
HUMAN|HGNC=14082|UniProtKB=Q9NQW6	ANLN	Actin-binding protein anillin;ANLN;ortholog			
HUMAN|HGNC=15465|UniProtKB=Q9NQX3	GPHN	Gephyrin;GPHN;ortholog		coenzyme metabolic process(GO:0008152);phosphate-containing compound metabolic process(GO:0006732);nitrogen compound metabolic process(GO:0006796);biosynthetic process(GO:0006807);cellular protein modification process(GO:0009058);prosthetic group metabolic process(GO:0044238);cellular process(GO:0019538)	intracellular(GO:0044464)
HUMAN|HGNC=960|UniProtKB=Q9NRL2	BAZ1A	Bromodomain adjacent to zinc finger domain protein 1A;BAZ1A;ortholog	acetyltransferase activity(GO:0003824);nucleic acid binding(GO:0016740);chromatin binding(GO:0016746)	transcription from RNA polymerase II promoter(GO:0008152);cellular process(GO:0044238);chromatin organization(GO:0006139)	
HUMAN|HGNC=4861|UniProtKB=Q9NRZ9	HELLS	Lymphoid-specific helicase;HELLS;ortholog			
HUMAN|HGNC=12760|UniProtKB=Q9NSI6	BRWD1	Bromodomain and WD repeat-containing protein 1;BRWD1;ortholog		nitrogen compound metabolic process(GO:0008152);biosynthetic process(GO:0006807);transcription from RNA polymerase II promoter(GO:0009058);cellular process(GO:0044238);cellular component morphogenesis(GO:0006139);regulation of nucleobase-containing compound metabolic process(GO:0016070);organelle organization(GO:0006351)	organelle(GO:0043226);intracellular(GO:0044464)
HUMAN|HGNC=25571|UniProtKB=Q9NVG8	TBC1D13	TBC1 domain family member 13;TBC1D13;ortholog	hydrolase activity(GO:0003824);protein binding(GO:0016787);small GTPase regulator activity(GO:0005488)	metabolic process(GO:0008152);cellular process(GO:0009987);intracellular protein transport(GO:0051179);exocytosis(GO:0006810);regulation of catalytic activity(GO:0015031);cellular component organization(GO:0006886)	
HUMAN|HGNC=25499|UniProtKB=Q9NW75	GPATCH2	G patch domain-containing protein 2;GPATCH2;ortholog	nucleic acid binding(GO:0005488)		
HUMAN|HGNC=25487|UniProtKB=Q9NWA0	MED9	Mediator of RNA polymerase II transcription subunit 9;MED9;ortholog		nucleobase-containing compound metabolic process(GO:0008152)	
HUMAN|HGNC=26021|UniProtKB=Q9NX58	LYAR	Cell growth-regulating nucleolar protein;LYAR;ortholog			
HUMAN|HGNC=25980|UniProtKB=Q9NXH9	TRMT1	tRNA (guanine(26)-N(2))-dimethyltransferase;TRMT1;ortholog			
HUMAN|HGNC=28866|UniProtKB=Q9NZI8	IGF2BP1	Insulin-like growth factor 2 mRNA-binding protein 1;IGF2BP1;ortholog	catalytic activity(GO:0003824);mRNA binding(GO:0005488);protein binding(GO:0003676)	induction of apoptosis(GO:0006915);RNA splicing, via transesterification reactions(GO:0006917);transcription from RNA polymerase II promoter(GO:0008152);mRNA splicing, via spliceosome(GO:0044238);RNA splicing, via transesterification reactions(GO:0006139);protein metabolic process(GO:0016070);cell communication(GO:0000375);neurological system process(GO:0006351);induction of apoptosis(GO:0006366);intracellular protein transport(GO:0006397);nuclear transport(GO:0000398)	ribonucleoprotein complex(GO:0032991)
HUMAN|HGNC=14193|UniProtKB=Q9NZN5	ARHGEF12	Rho guanine nucleotide exchange factor 12;ARHGEF12;ortholog	catalytic activity(GO:0003824);protein binding(GO:0005488);small GTPase regulator activity(GO:0005515);guanyl-nucleotide exchange factor activity(GO:0030234)	metabolic process(GO:0008152);regulation of catalytic activity(GO:0065007)	
HUMAN|HGNC=6896|UniProtKB=Q9P0L2	MARK1	Serine/threonine-protein kinase MARK1;MARK1;ortholog	protein kinase activity(GO:0003824)	protein phosphorylation(GO:0008152);cell communication(GO:0044238)	
HUMAN|HGNC=29301|UniProtKB=Q9P206	KIAA1522	Uncharacterized protein KIAA1522;KIAA1522;ortholog			
HUMAN|HGNC=20062|UniProtKB=Q9P275	USP36	Ubiquitin carboxyl-terminal hydrolase 36;USP36;ortholog			nucleus(GO:0043226);intracellular(GO:0005634)
HUMAN|HGNC=20626|UniProtKB=Q9P2D1	CHD7	Chromodomain-helicase-DNA-binding protein 7;CHD7;ortholog	helicase activity(GO:0003824);binding(GO:0004386)	DNA repair(GO:0008152);transcription from RNA polymerase II promoter(GO:0044238);cellular process(GO:0006139);regulation of transcription from RNA polymerase II promoter(GO:0006259);chromatin organization(GO:0006281)	
